视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
27,610052639,802345,291,685,53408,672,1139
14,388202367,1110848,614,1399,104033,1667,2147
24,900561159,1526299,538,1232,184901,2049,5665
16,684582455,2297388,762,1900,174363,6552,3669
16,758292715,2316561,488,2240,77659,2081,1419
21,756862764,3840632,604,1497,77600,6073,10305
21,774937218,2226499,802,2353,384989,7312,12994
16,668298607,14607744,6830,4922,385847,32070,84036
22,720401672,1874531,747,3233,110156,10714,3853
217,248501000,21701993,77241,10550,1076409,425465,95048
23,247598819,2851938,1371,3018,110201,6876,7625
11,263051238,659930,294,899,60997,1586,1726
16,553864967,1312682,893,1532,89443,3856,10542
126,80573606,49463963,70609,23272,2243538,382984,166202
22,684854356,4163369,1624,2180,193518,3216,14527
27,388465767,514353,371,668,52042,1161,1242
25,648980377,2468634,549,813,85175,1422,448
10,332946662,19002,1,4,101,0,19
12,333245787,3595904,548,2050,114900,7285,5415
22,852522779,1943617,565,797,108546,1977,2360
14,807262035,1625877,148,463,78187,1158,708
11,473610870,1026408,158,505,144996,705,1679
14,293675343,2093768,561,1380,94294,1959,1264
129,371282851,22006323,21261,7415,652377,161668,214277
12,680494131,8856546,487,1300,134804,1254,3940
9,588597487,17523692,616,2965,184129,7483,7005
15,803596583,12054308,1364,3936,347906,47803,58500
14,973752466,4765418,852,2816,180464,9930,9121
23,719028817,14125876,3978,7571,428051,55799,56700
79,718305036,1516094,396,212,131209,798,1328
12,463407053,3022921,369,552,56545,3872,2136
32,375532853,5221502,949,1867,133311,1851,9077
82,422588406,11332499,2437,997,112357,2739,2434
65,286781445,11429575,4315,3680,283166,20605,20009
27,587444202,3912705,697,1872,139616,4265,4833
16,546930699,8068053,1320,1760,142624,2840,12841
21,774937218,2226499,802,2353,384989,7312,12994
22,852522779,1943617,565,797,108546,1977,2360
76,376430482,9426016,1127,538,79332,21193,1164
67,931118360,2921964,630,823,50768,817,1044
14,388202367,1110848,614,1399,104033,1667,2147
23,224727376,1045004,540,1109,45954,1266,2246
19,604487890,1995244,678,1706,255154,2251,5709
24,900561159,1526299,538,1232,184901,2049,5665
27,610052639,802345,291,685,53408,672,1139
93,289164300,4328390,325,455,42044,723,368
14,807262035,1625877,148,463,78187,1158,708
98,716223825,4612927,7509,5005,338179,86063,11706
35,428109629,2405980,535,525,69453,1527,5958
25,336044349,1795075,523,1447,107283,3643,1253
22,305883313,413342,83,300,26618,367,222
12,226036865,390814,158,409,38277,437,628
16,817353302,1974282,417,1155,183979,5186,2394
217,248501000,21701993,77241,10550,1076409,425465,95048
18,459529937,5761315,470,1556,119853,3998,4043
9,672337680,11252143,521,1394,131183,16243,9392
13,729865960,588613,240,551,43841,822,737
58,77511727,20549683,18207,12049,723928,68959,204253
31,796087101,2086194,491,609,20051,307,1750
21,247044144,4748162,1766,2513,143892,10585,12092
8,80765710,8060310,4560,6396,64464,5786,6215
102,92127864,13340689,26488,14968,314148,14054,135728
11,906925670,240216,38,218,16175,250,170
34,939003593,1839489,946,1178,201569,1946,2141
101,979870300,14062710,13112,4005,598207,159148,89993
11,263051238,659930,294,899,60997,1586,1726
22,852522779,1943617,565,798,108546,1977,2360
21,774937218,2226499,802,2352,384989,7312,12994
23,224727376,1045004,540,1110,45954,1266,2246
19,604487890,1995244,678,1706,255154,2251,5709
16,684582455,2297388,762,1900,174363,6552,3669
77,810805224,3468440,809,2686,207579,2088,2645
15,803596583,12054308,1364,3936,347906,47803,58500
23,719028817,14125876,3978,7571,428051,55799,56700
31,427384475,1588410,226,609,38324,1796,2700
22,720401672,1874531,747,3233,110156,10714,3853
45,716945283,1807951,1730,2224,88075,2871,542
37,949709221,2160440,512,1290,181886,9031,13707
22,812149442,1613725,834,1322,122342,6745,10678
16,561093235,1533914,476,879,126979,3263,2660
32,467844743,1551581,808,1404,97420,2945,4198
91,212604846,2189670,1239,1352,71515,1189,2513
24,900561159,1526299,538,1232,184901,2049,5665
12,982818139,1276947,392,941,63854,2013,2355
177,939576769,979873,1205,2260,88800,6526,1764
21,298938810,1047620,485,843,70436,1541,3409
21,720302111,1807717,772,2639,81857,3001,1650
12,640382351,4345392,1421,2219,122520,4375,5461
201,509897955,2436443,2410,1024,83875,2777,4377
19,376872846,4175072,1448,4193,254776,28973,9764
30,429460419,1470784,987,1766,149918,3074,5289
137,852600873,11042270,14867,11874,1038615,280142,255770
27,388465767,514353,371,668,52042,1161,1242
22,734845696,463879,283,764,39609,913,431
23,258580943,953589,998,1801,117792,3137,5633
11,841488008,2250038,248,1174,42840,6183,1654
13,729865960,588613,240,551,43841,822,737
505,228518271,203108,698,360,10679,1463,243
184,810374630,4728951,2048,1438,100792,1811,9481
16,553864967,1312682,893,1532,89443,3856,10542
76,680449533,1434067,2169,1945,100629,2237,2477
56,640926776,651793,420,484,43036,876,376
98,716223825,4612927,7509,5005,338179,86063,11706
497,984279619,1396785,3351,1279,81824,3831,1287
16,817353302,1974282,417,1155,183979,5186,2394
27,610052639,802345,291,686,53408,672,1139
11,473610870,1026408,158,505,144996,705,1679
16,225954134,791653,202,521,39663,355,526
25,396246163,1582512,531,728,169957,1938,2979
27,268523669,957803,62,206,8388,44,36
34,353161069,943502,115,199,45836,138,159
23,224727376,1045004,540,1110,45954,1266,2246
22,440635429,1719473,512,525,72542,2572,1683
19,354865453,1984120,145,348,105420,1519,469
19,604487890,1995244,678,1706,255154,2251,5709
31,731757898,3087502,558,997,245142,4323,4460
77,810805224,3468440,809,2686,207579,2088,2645
40,908133480,3416697,298,982,175356,1155,950
135,310934093,2562659,1538,1103,212813,6140,2564
14,933934322,851820,62,1526,35500,507,684
11,263051238,659930,294,899,60997,1586,1726
72,483163923,790158,641,761,24707,1366,4531
86,594940162,1287415,282,1236,48237,669,2228
27,610052639,802345,291,686,53408,672,1139
222,568412717,1969017,5571,3687,80589,6232,4668
13,524702624,1019755,211,1528,94471,2931,2156
200,438455921,2987537,4423,7601,202042,72818,43480
10,224668087,3313864,317,744,114470,1060,800
66,853029787,2230572,681,1304,78477,1492,2283
34,951805394,870518,808,1544,74963,2630,4056
73,993451035,386994,86,200,21030,621,1442
318,310906640,380001,1497,2895,6946,667,1619
40,525878538,250006,132,376,13074,2262,995
27,526390888,967023,130,246,37222,452,422
13,865314054,1020621,44,366,41034,598,528
32,525415031,1299903,170,258,77459,2379,4250
12,865883001,373684,15,37,2564,21,152
74,639532752,2210577,492,798,125714,1195,1490
21,774937218,2226499,802,2352,384989,7312,12994
21,950931212,598153,55,315,21989,464,443
34,310866709,655313,451,339,32500,554,589
14,952215354,199864,8,53,1870,22,46
14,612057715,1175701,91,348,51170,586,1171
96,483465699,538090,742,448,26522,324,196
413,310904881,697748,780,773,11850,1437,2965
12,982818139,1276947,392,941,63854,2013,2355
23,685726096,3175188,787,1272,194483,5003,8906
27,610476446,645267,96,349,5608,136,1309
80,996144646,320883,239,507,13459,3834,632
351,764423556,7478814,4773,3472,117936,40628,2648
114,759894769,32821825,19189,19671,1344740,810242,194500
136,651761440,3327980,3034,2372,75647,17872,6101
52,299466669,1179315,1135,1225,60449,26387,5355
11,271346219,302275,185,661,13247,3784,89
67,485630771,1713811,327,1878,158575,27875,3367
891,698864222,665845,3087,2917,67145,86327,5348
245,602513211,165898,1234,574,10062,2933,304
88,727353194,461421,371,586,15564,8309,1621
63,911158677,955111,375,1298,73239,6200,3547
269,300681023,1209746,2321,1613,126710,66778,8387
81,401219658,563212,77,591,27106,4359,2109
72,639205828,363938,162,499,11381,4965,835
248,386657367,730618,885,1557,98581,24213,2429
328,698701852,541800,886,1118,42588,18112,2067
22,818751571,532750,153,511,22899,2481,765
82,442959400,300227,325,921,14523,5036,471
288,486244261,904019,872,920,28701,5431,8296
253,698862124,818113,2032,1708,45470,23493,1908
71,430536303,299156,460,472,11282,4408,714
150,900317623,329749,470,777,12642,5620,743
233,911229454,2093985,5210,6723,192328,55788,13218
276,401022633,6935776,22591,23722,716863,591373,103929
273,443580160,8053081,27563,24970,790756,677236,148866
62,741247855,353311,148,730,5549,47,262
41,528664783,202258,72,340,10680,2268,942
111,613671657,782415,965,1210,25851,3859,2735
1592,313529737,2411034,20803,3226,179480,114187,13387
74,299338174,347859,146,431,9187,4047,633
43,826088472,271325,157,413,5131,103,428
101,996067125,437841,252,630,44733,4067,579
87,515780203,569904,1098,712,23394,9043,1705
73,698780807,228506,329,521,12157,4427,1286
116,443638450,82934,33,225,5042,1184,118
90,868865341,212632,159,269,5746,218,273
114,911135722,1776879,1742,6378,204708,16199,7593
18,271265191,994802,265,699,65890,435,563
107,571136229,83194,54,290,2763,860,166
78,356087210,2458267,619,852,80562,5076,711
123,486228551,792997,1316,585,35162,1213,949
9,867801849,728760,82,418,107027,1153,2081
10,354765733,274643,34,178,30087,338,621
12,398586034,1667327,312,1155,246348,4083,4706
10,826116446,598785,35,379,68094,756,1353
57,612821007,724338,118,308,40852,881,462
10,606357801,262979,55,279,5891,79,548
60,222312133,68969,30,57,5340,172,117
80,698723998,41502,18,61,2657,154,63
273,825744235,382694,292,422,43147,660,514
17,734727691,95236,2,52,3264,23,41
84,741228626,114747,16,74,1572,25,76
52,486178213,409524,71,351,56625,3239,1094
45,946404818,108605,76,277,14050,518,98
40,221013373,62283,21,29,4025,44,34
30,693166621,1416596,1000,1675,154693,1101,1314
77,612440333,349080,133,381,27136,954,2093
317,992646679,39394,13,44,3155,54,85
18,698766185,144411,19,61,7868,56,30
8,305420617,487782,95,760,71760,2760,1652
16,697590666,638012,142,456,127031,2564,2719
20,655628290,475310,119,566,94795,968,3463
